refund_id,payment_id,refund_date,amount
126,15010,2025-02-24,154.63
127,18480,2025-10-11,116.62
128,5806,2024-10-07,239.89
129,9643,2025-04-11,84.08
130,3165,2025-07-21,319.57
131,2817,2025-11-24,358.80
132,16079,2025-08-06,447.85
133,1641,2024-12-01,317.06
134,7218,2025-12-24,79.06
135,17106,2025-04-22,119.69
136,9880,2025-01-26,106.14
137,17699,2025-12-28,420.61
138,13825,2025-08-17,75.69
139,16780,2025-11-22,120.88
140,2141,2024-01-14,371.52
141,15893,2024-08-11,396.66
142,8458,2025-03-22,277.30
143,16114,2025-01-08,282.73
144,18916,2024-05-08,84.59
145,2106,2024-06-20,184.71
146,8683,2024-10-17,78.96
147,10428,2025-02-09,410.69
148,6038,2024-10-30,214.98
149,10563,2026-02-26,23.52
150,4389,2025-11-26,367.75
151,2026,2024-03-20,49.11
152,8143,2025-10-03,75.39
153,3243,2024-09-11,169.41
154,18684,2024-01-21,491.65
155,7472,2024-04-02,115.33
156,8382,2024-04-10,76.85
157,2403,2025-06-22,337.37
158,8103,2024-12-18,437.59
159,11523,2025-09-19,389.88
160,16945,2026-01-17,35.55
161,3781,2025-04-12,403.95
162,17522,2024-08-22,334.68
163,17382,2025-04-08,214.79
164,1395,2025-05-24,404.16
165,3840,2025-07-02,323.41
166,15023,2025-08-06,466.67
167,12460,2024-11-05,96.84
168,8692,2025-01-30,276.02
169,16316,2024-03-03,77.95
170,3656,2025-06-08,79.04
171,15262,2025-05-08,54.77
172,19719,2024-12-01,124.81
173,9598,2024-07-29,478.56
174,8507,2024-04-03,200.26
175,1700,2024-09-11,313.88
176,11093,2025-11-11,129.60
177,18826,2026-02-14,48.97
178,2500,2026-02-24,94.77
179,9591,2025-02-28,346.21
180,19599,2024-03-09,115.65
181,16824,2025-06-08,421.41
182,16067,2025-11-07,347.66
183,6671,2024-07-20,101.57
184,12101,2024-01-22,258.58
185,10260,2025-06-18,140.17
186,12043,2025-01-08,254.68
187,5261,2024-10-19,251.87
188,4291,2025-02-02,225.99
189,7571,2024-12-21,10.59
190,6021,2025-01-27,280.18
191,14362,2025-02-08,351.71
192,10087,2024-06-27,229.70
193,4254,2025-05-24,171.67
194,11933,2025-12-02,76.37
195,6513,2026-01-24,449.37
196,5505,2025-08-27,34.75
197,9317,2024-09-21,47.77
198,4736,2025-10-27,496.03
199,5741,2025-05-16,485.97
200,7998,2025-08-01,321.53
201,4215,2025-05-06,171.92
202,1603,2024-11-06,38.52
203,13403,2024-12-30,104.51
204,19306,2025-09-16,140.81
205,1672,2025-09-23,196.45
206,13128,2025-08-30,449.10
207,17305,2025-09-09,404.16
208,13989,2025-01-08,299.48
209,163,2024-08-13,207.38
210,1847,2026-01-25,78.94
211,17215,2025-10-19,471.63
212,11121,2024-10-22,424.81
213,1442,2024-07-14,60.67
214,679,2024-01-11,97.21
215,6234,2025-12-25,392.17
216,502,2025-11-28,104.62
217,3459,2025-11-06,295.61
218,18022,2024-11-24,221.13
219,13254,2025-10-16,198.96
220,4576,2024-09-02,56.08
221,373,2025-11-18,489.41
222,5287,2024-10-12,136.12
223,17302,2025-07-23,340.37
224,9670,2025-03-14,32.42
225,2490,2024-07-29,30.48
226,17551,2024-04-27,452.77
227,11702,2025-03-21,123.52
228,8218,2025-08-01,385.50
229,4222,2025-08-26,66.61
230,16917,2025-05-28,316.00
231,4001,2025-01-30,52.52
232,2941,2024-11-07,276.51
233,18297,2024-08-02,92.51
234,17467,2025-08-26,109.59
235,14698,2024-02-16,250.98
236,4526,2024-07-13,31.35
237,13419,2025-03-23,206.53
238,19465,2026-03-19,104.52
239,5527,2025-01-11,200.49
240,15523,2025-05-01,81.72
241,12857,2024-10-25,115.79
242,14863,2025-06-30,431.41
243,5134,2025-09-29,259.75
244,12937,2025-07-23,293.42
245,8878,2024-09-21,36.52
246,18669,2025-08-07,68.95
247,9630,2024-04-11,374.64
248,1537,2025-02-17,17.62
249,16926,2024-04-21,443.26
250,17504,2024-12-20,456.07
251,6181,2024-07-31,16.03
252,13198,2025-09-26,294.19
253,19029,2024-12-24,139.17
254,10289,2024-04-06,364.39
255,12606,2024-11-22,124.43
256,7263,2024-02-11,174.68
257,7356,2025-05-22,251.62
258,15538,2025-09-08,279.93
259,3654,2024-02-03,426.09
260,9071,2025-10-30,33.72
261,9848,2024-01-30,235.72
262,3586,2024-12-31,375.70
263,2773,2026-03-09,313.35
264,16658,2024-01-26,241.26
265,18438,2024-02-24,392.13
266,10704,2025-10-14,86.75
267,13856,2025-03-10,198.08
268,12031,2025-01-24,477.59
269,7871,2024-11-04,426.94
270,1002,2025-08-18,85.62
271,91,2024-12-14,413.73
272,12114,2025-06-23,94.53
273,5780,2026-02-14,212.80
274,7155,2024-09-05,198.37
275,7828,2024-03-22,483.31
276,17176,2024-03-19,258.40
277,9505,2025-06-09,289.64
278,8469,2025-01-27,179.84
279,7831,2025-08-12,440.62
280,16941,2024-01-21,155.54
281,13052,2024-08-04,217.98
282,7414,2026-03-18,227.21
283,7073,2026-01-13,76.63
284,8207,2025-02-09,50.99
285,17511,2024-11-26,453.05
286,3640,2025-10-24,290.20
287,8798,2025-04-20,266.61
288,2880,2025-03-05,433.16
289,13310,2026-01-10,107.80
290,16076,2025-03-26,484.55
291,14038,2025-04-10,83.42
292,9305,2024-04-30,102.83
293,11712,2024-07-12,157.57
294,1479,2024-09-19,327.95
295,14393,2024-07-24,412.02
296,17477,2025-02-26,37.20
297,13841,2025-04-27,171.33
298,8754,2026-03-18,217.71
299,1571,2024-06-01,94.44
300,19930,2025-09-30,96.86
301,14914,2025-05-02,189.79
302,16111,2025-10-26,93.94
303,14460,2025-03-31,482.00
304,15130,2025-09-20,227.92
305,15228,2026-02-14,398.70
306,8853,2024-11-18,267.36
307,16001,2025-04-25,13.26
308,4053,2024-10-15,391.11
309,9996,2025-09-09,45.79
310,5645,2025-12-30,123.87
311,4191,2024-02-25,394.80
312,15526,2025-11-04,421.63
313,5336,2026-01-14,117.78
314,9106,2025-12-28,354.01
315,8487,2024-11-24,323.73
316,19341,2025-06-21,229.49
317,4087,2026-02-17,373.62
318,2566,2025-01-30,16.56
319,18283,2025-04-02,442.30
320,5184,2025-10-03,352.75
321,12437,2024-03-16,311.23
322,5488,2024-06-06,44.98
323,6707,2025-05-27,109.66
324,590,2025-09-21,223.78
325,16531,2024-05-11,426.06
326,3580,2024-03-29,484.77
327,8113,2024-12-14,448.63
328,13059,2025-05-26,429.61
329,11706,2025-05-30,363.52
330,9812,2025-09-28,491.05
331,13666,2025-07-26,375.55
332,15071,2026-01-24,112.93
333,11050,2025-11-16,403.13
334,15807,2025-04-03,185.78
335,6863,2026-02-06,203.79
336,19912,2024-03-21,63.19
337,11828,2024-06-25,317.12
338,9349,2025-11-25,433.41
339,1796,2024-01-08,336.40
340,18588,2025-09-22,490.78
341,4414,2025-06-03,43.59
342,16084,2024-08-15,414.94
343,1931,2026-01-15,379.09
344,11168,2024-06-21,192.05
345,3928,2024-11-19,120.14
346,8679,2024-09-19,389.29
347,3234,2026-03-12,449.63
348,14706,2025-10-10,221.10
349,14016,2024-11-29,26.25
350,3247,2024-12-12,133.07
351,7823,2024-01-13,95.84
352,4503,2024-05-23,445.15
353,10208,2024-11-09,184.49
354,19952,2025-08-17,146.24
355,1995,2025-11-04,149.73
356,12761,2025-06-01,407.47
357,19611,2025-01-30,470.00
358,1541,2025-02-09,56.79
359,15861,2024-06-03,483.99
360,1999,2025-01-24,421.62
361,706,2024-03-15,225.95
362,4181,2025-07-13,459.00
363,8765,2024-12-24,457.03
364,8975,2024-10-05,304.92
365,10653,2025-09-25,379.85
366,19657,2025-12-12,158.58
367,16388,2024-11-12,402.49
368,19099,2025-04-12,243.90
369,9703,2024-09-20,126.69
370,14530,2024-12-15,143.51
371,18113,2025-06-13,446.48
372,10586,2024-10-01,378.61
373,738,2024-08-24,451.11
374,13182,2024-01-26,424.61
375,6583,2024-05-16,398.75
376,3471,2025-05-13,287.75
377,11517,2024-12-26,86.51
378,18076,2025-11-16,243.91
379,12516,2024-09-07,222.21
380,4288,2025-08-05,278.32
381,17257,2025-09-16,152.27
382,11470,2025-08-10,260.59
383,7531,2025-05-20,46.22
384,5480,2024-10-28,404.58
385,7993,2024-02-03,117.56
386,7075,2024-07-12,180.98
387,2736,2025-05-25,339.59
388,19009,2025-07-13,79.72
389,2652,2025-09-12,473.07
390,13105,2025-06-10,134.71
391,9494,2025-05-08,189.52
392,8708,2025-04-20,63.16
393,14247,2024-09-25,412.27
394,15769,2025-01-20,442.33
395,16278,2024-02-08,456.79
396,12899,2025-09-12,306.74
397,18466,2024-12-06,285.92
398,16855,2024-09-04,135.47
399,5757,2025-08-21,417.50
400,4640,2024-10-27,284.68
401,8213,2025-07-08,192.61
402,1300,2026-01-18,495.55
403,12724,2025-07-31,120.42
404,10317,2025-11-25,320.01
405,9413,2025-11-07,101.10
406,5500,2026-01-03,94.83
407,3717,2025-01-26,15.15
408,4926,2025-04-17,430.68
409,1159,2025-05-21,102.05
410,5324,2024-11-24,157.08
411,17255,2025-12-19,104.40
412,10320,2025-07-31,306.55
413,7919,2025-09-11,382.62
414,7047,2025-03-09,54.48
415,7112,2025-11-24,375.29
416,877,2024-02-20,184.54
417,6533,2024-05-04,71.08
418,19598,2024-09-01,248.00
419,5608,2026-01-09,295.67
420,8662,2025-05-13,140.83
421,9934,2024-01-24,54.26
422,5201,2024-02-16,132.59
423,11217,2024-04-15,260.06
424,10066,2025-09-14,375.30
425,13568,2024-05-27,483.39
426,12803,2025-12-12,13.94
427,4868,2025-08-19,18.19
428,19003,2025-07-02,321.77
429,19195,2024-08-16,242.33
430,15811,2024-12-19,488.01
431,16944,2025-08-05,454.13
432,18066,2024-01-30,95.31
433,7135,2025-02-15,107.62
434,3626,2025-10-21,114.00
435,12324,2025-05-06,379.98
436,13361,2025-04-16,238.34
437,5207,2024-02-22,60.08
438,5689,2024-07-30,451.99
439,8465,2025-03-11,112.69
440,11464,2025-05-20,490.68
441,16985,2025-04-25,72.64
442,13339,2026-03-08,450.97
443,166,2025-07-13,392.60
444,8842,2024-12-01,33.51
445,16930,2025-03-26,118.39
446,17185,2024-08-11,215.45
447,10719,2025-10-10,490.44
448,16062,2024-01-02,234.98
449,14933,2024-11-24,82.76
450,17489,2024-09-15,411.31
451,9095,2024-01-25,317.71
452,691,2024-06-15,439.60
453,17631,2024-04-01,211.93
454,16424,2025-09-06,167.33
455,9634,2026-02-12,178.43
456,7593,2024-12-19,122.39
457,11233,2025-12-10,281.80
458,3820,2024-10-28,245.60
459,2788,2024-04-24,129.94
460,1444,2026-01-08,284.96
461,19714,2026-01-16,133.73
462,19556,2025-05-03,328.65
463,5797,2025-05-05,140.56
464,19440,2024-03-30,449.33
465,10743,2024-10-09,98.07
466,19639,2025-06-19,402.84
467,16912,2026-02-14,240.80
468,11862,2024-09-05,275.06
469,13304,2024-10-17,268.73
470,16200,2025-04-04,429.69
471,19137,2024-07-28,471.60
472,4769,2024-01-29,311.69
473,5089,2026-02-23,34.93
474,15795,2025-03-28,64.26
475,1109,2025-04-17,277.87
476,19176,2025-11-28,154.41
477,572,2024-05-06,461.68
478,18028,2025-07-02,316.46
479,13746,2025-01-09,461.38
480,13968,2025-05-09,226.99
481,140,2024-11-11,300.85
482,1660,2024-05-19,344.87
483,11335,2024-02-18,415.54
484,8920,2024-06-11,251.38
485,16,2025-11-28,109.03
486,15592,2024-02-22,198.40
487,11971,2025-01-06,150.03
488,14685,2024-12-07,493.30
489,13967,2024-09-15,472.16
490,6080,2025-12-17,136.46
491,15780,2025-01-04,110.23
492,18559,2024-07-15,54.13
493,13698,2024-07-22,318.93
494,3718,2024-05-23,473.04
495,5517,2025-06-14,308.76
496,17820,2024-03-23,480.60
497,14182,2025-09-23,273.59
498,19250,2026-01-23,247.51
499,5611,2025-02-25,427.59
500,4569,2025-01-17,369.53
