payment_id,invoice_id,payment_date,amount,payment_method
80,126,2024-03-08,932.35,Cash
81,17,2025-06-16,3841.51,Other
82,473,2024-02-13,1593.47,Cash
83,445,2024-06-28,1434.35,Insurance
84,17,2024-08-08,2052.04,Bank Transfer
85,94,2024-09-06,4001.19,Credit Card
86,112,2024-03-20,1062.56,Credit Card
87,160,2024-03-05,1497.16,Insurance
88,64,2025-06-08,2883.11,Insurance
89,447,2025-02-06,854.12,Cash
90,389,2025-05-06,3929.14,Insurance
91,311,2025-11-06,4082.21,Bank Transfer
92,373,2024-05-24,4811.01,Other
93,91,2024-04-10,223.56,Cash
94,254,2024-05-19,2503.86,Bank Transfer
95,278,2026-02-24,710.24,Bank Transfer
96,458,2024-03-29,4519.45,Bank Transfer
97,11,2026-01-19,4669.21,Other
98,216,2024-08-29,446.88,Credit Card
99,141,2025-12-04,348.82,Bank Transfer
100,301,2025-02-02,4091.52,Other
101,461,2025-03-05,3510.52,Bank Transfer
102,48,2025-09-16,2012.15,Credit Card
103,247,2024-04-04,1417.94,Insurance
104,27,2025-03-10,1616.25,Other
105,462,2025-12-06,2195.78,Other
106,224,2024-06-15,4187.67,Credit Card
107,227,2025-06-07,1891.57,Insurance
108,237,2024-04-08,3396.67,Insurance
109,63,2024-07-01,375.88,Other
110,293,2024-07-18,4278.64,Other
111,404,2024-03-29,2488.64,Insurance
112,1,2025-11-12,4320.21,Insurance
113,327,2024-01-12,57.15,Credit Card
114,332,2025-03-25,2908.23,Insurance
115,397,2024-06-13,3695.97,Bank Transfer
116,173,2024-07-06,2240.15,Bank Transfer
117,486,2024-07-19,50.39,Cash
118,113,2025-09-12,2748.24,Other
119,327,2026-02-11,247.94,Bank Transfer
120,217,2024-12-14,4175.80,Bank Transfer
121,378,2025-09-03,484.01,Other
122,213,2025-07-09,3245.39,Bank Transfer
123,308,2025-10-28,2580.45,Bank Transfer
124,309,2025-12-28,1007.38,Credit Card
125,4,2024-08-02,3622.41,Credit Card
126,86,2025-01-22,2786.89,Insurance
127,257,2025-04-27,176.89,Credit Card
128,241,2025-01-10,1892.18,Insurance
129,273,2025-01-11,3941.34,Bank Transfer
130,168,2025-05-10,3540.61,Insurance
131,455,2024-11-28,1111.10,Other
132,74,2024-09-23,3748.85,Insurance
133,148,2024-07-29,139.42,Other
134,58,2024-08-15,688.38,Credit Card
135,178,2025-04-16,1884.68,Bank Transfer
136,39,2024-05-21,859.96,Insurance
137,157,2026-02-09,1230.73,Bank Transfer
138,375,2026-02-17,64.97,Bank Transfer
139,430,2024-11-18,1880.85,Insurance
140,119,2024-04-10,1468.03,Other
141,78,2025-11-06,4788.22,Insurance
142,91,2024-05-28,4049.35,Bank Transfer
143,252,2025-03-24,2170.93,Credit Card
144,285,2024-06-04,4037.05,Other
145,31,2025-05-07,4810.90,Cash
146,26,2024-05-27,1312.59,Other
147,396,2026-01-03,2664.48,Insurance
148,140,2024-04-25,3163.36,Other
149,123,2025-09-04,3034.87,Insurance
150,314,2025-05-04,3035.07,Credit Card
151,387,2025-09-19,3840.71,Credit Card
152,259,2024-07-19,3636.01,Other
153,229,2025-03-15,2791.88,Credit Card
154,283,2026-01-06,3992.51,Other
155,298,2026-03-20,2670.14,Bank Transfer
156,263,2024-05-05,4799.98,Credit Card
157,286,2026-01-07,2196.73,Other
158,53,2025-01-22,1775.53,Credit Card
159,128,2024-12-06,233.87,Other
160,427,2025-12-28,3177.45,Credit Card
161,246,2025-07-10,4875.85,Credit Card
162,376,2025-10-08,1831.55,Cash
163,297,2025-09-10,2637.71,Insurance
164,483,2025-06-12,1315.48,Other
165,207,2024-02-01,3351.13,Credit Card
166,476,2024-10-23,923.72,Other
167,372,2024-12-25,334.69,Insurance
168,238,2024-06-06,4988.09,Credit Card
169,210,2025-11-09,3174.33,Credit Card
170,274,2024-03-31,4496.39,Insurance
171,207,2025-03-26,2311.69,Insurance
172,413,2026-03-03,2714.57,Insurance
173,493,2025-03-29,3369.91,Credit Card
174,360,2025-09-08,2436.65,Other
175,35,2025-09-15,274.76,Other
176,225,2024-09-28,4541.53,Other
177,487,2026-03-17,2892.09,Other
178,117,2024-08-10,213.36,Credit Card
179,355,2025-05-12,1439.12,Insurance
180,81,2024-09-19,744.42,Cash
181,29,2025-12-27,1215.15,Credit Card
182,144,2025-07-23,3479.96,Insurance
183,97,2025-02-02,1783.41,Other
184,275,2024-10-07,3910.64,Cash
185,315,2025-07-03,4127.94,Insurance
186,42,2024-08-04,749.09,Bank Transfer
187,11,2025-02-13,1229.18,Bank Transfer
188,498,2025-04-28,953.31,Insurance
189,207,2024-07-27,3017.12,Bank Transfer
190,244,2026-02-22,779.75,Insurance
191,339,2025-12-17,2640.81,Cash
192,6,2025-04-21,742.36,Bank Transfer
193,432,2024-08-20,2565.20,Bank Transfer
194,269,2026-03-04,4371.73,Cash
195,14,2025-08-15,3128.48,Other
196,468,2025-06-07,2172.24,Other
197,83,2026-03-13,3501.50,Bank Transfer
198,331,2024-11-16,3465.93,Bank Transfer
199,34,2024-09-30,3100.90,Bank Transfer
200,258,2026-02-12,2362.47,Credit Card
201,177,2026-01-08,3056.43,Bank Transfer
202,140,2024-08-19,4189.90,Bank Transfer
203,121,2025-01-25,4212.33,Other
204,290,2025-02-05,546.64,Cash
205,250,2025-05-26,3621.91,Other
206,310,2025-10-13,2250.92,Credit Card
207,77,2024-06-13,749.86,Insurance
208,158,2025-01-22,3665.79,Cash
209,388,2024-11-27,4674.89,Credit Card
210,487,2024-02-04,101.87,Insurance
211,6,2024-05-19,2328.06,Bank Transfer
212,380,2024-03-02,4287.53,Insurance
213,432,2025-03-05,4034.42,Other
214,241,2026-02-21,4469.64,Insurance
215,356,2025-07-30,1254.02,Other
216,355,2024-02-09,4490.74,Cash
217,130,2025-01-01,1239.58,Other
218,194,2025-10-26,2991.97,Cash
219,60,2025-03-21,2602.82,Cash
220,80,2026-02-18,4785.05,Cash
221,255,2024-12-16,4368.15,Cash
222,13,2025-02-16,3078.73,Other
223,351,2024-03-23,4757.09,Bank Transfer
224,272,2024-12-20,4643.31,Credit Card
225,444,2025-08-22,4473.81,Credit Card
226,443,2024-05-27,4339.82,Bank Transfer
227,164,2024-12-30,4722.09,Bank Transfer
228,94,2024-08-05,948.41,Cash
229,156,2026-01-30,4864.27,Other
230,159,2024-10-13,3845.61,Credit Card
231,319,2026-03-03,2880.46,Bank Transfer
232,336,2024-03-28,4554.19,Insurance
233,289,2025-09-06,1035.42,Cash
234,123,2025-07-18,441.72,Insurance
235,299,2024-11-30,2956.92,Cash
236,247,2024-01-14,1778.67,Insurance
237,307,2025-01-13,3556.48,Cash
238,430,2025-03-17,4120.00,Credit Card
239,211,2024-04-24,3271.41,Cash
240,414,2024-05-23,2618.53,Insurance
241,150,2024-02-12,3539.41,Other
242,332,2024-04-25,366.04,Credit Card
243,13,2025-12-04,1909.99,Other
244,118,2025-06-27,769.06,Bank Transfer
245,161,2024-05-15,2748.87,Other
246,299,2025-09-08,3800.67,Other
247,204,2024-05-18,2551.30,Credit Card
248,4,2026-03-10,3226.68,Other
249,147,2024-02-27,1835.06,Cash
250,258,2025-01-02,284.31,Insurance
251,443,2024-02-23,2820.18,Credit Card
252,381,2024-04-19,2876.23,Credit Card
253,335,2025-02-22,314.21,Other
254,182,2026-02-01,4994.15,Other
255,216,2024-11-29,1354.05,Other
256,35,2025-07-15,4867.72,Bank Transfer
257,493,2024-01-16,2991.47,Credit Card
258,279,2025-03-14,1798.38,Bank Transfer
259,236,2024-03-12,3129.92,Credit Card
260,464,2025-05-26,3225.26,Cash
261,352,2025-01-16,1304.76,Insurance
262,157,2025-06-26,2386.03,Bank Transfer
263,205,2025-01-24,808.22,Cash
264,440,2026-03-15,4636.67,Cash
265,427,2025-01-15,1992.86,Cash
266,300,2025-10-26,4996.39,Bank Transfer
267,321,2025-02-04,4364.45,Bank Transfer
268,6,2024-04-09,735.72,Credit Card
269,470,2024-12-08,310.54,Insurance
270,322,2025-01-18,4305.79,Insurance
271,429,2024-02-26,4239.88,Bank Transfer
272,15,2024-12-23,3106.99,Other
273,437,2025-01-04,3237.40,Insurance
274,220,2024-12-03,2449.27,Other
275,109,2025-05-02,2886.02,Credit Card
276,299,2024-04-08,4637.40,Bank Transfer
277,250,2024-09-29,1167.47,Credit Card
278,449,2025-08-03,4224.49,Cash
279,361,2024-07-14,1661.75,Credit Card
280,43,2025-12-11,3964.17,Other
281,375,2025-01-31,4049.74,Cash
282,304,2024-05-07,183.19,Insurance
283,217,2026-03-11,1396.35,Cash
284,466,2026-02-21,3857.99,Bank Transfer
285,96,2024-09-14,3394.10,Credit Card
286,87,2024-03-23,548.52,Other
287,26,2024-05-13,2212.43,Insurance
288,391,2025-11-20,711.61,Insurance
289,231,2024-07-15,4960.55,Other
290,56,2026-03-12,1135.08,Credit Card
291,4,2025-09-18,4535.90,Other
292,125,2024-04-10,4983.67,Bank Transfer
293,84,2024-09-12,2479.30,Cash
294,107,2024-11-12,1960.09,Credit Card
295,378,2024-07-04,2599.12,Bank Transfer
296,325,2024-06-06,4025.45,Insurance
297,164,2025-02-17,4823.83,Other
298,202,2025-02-27,3814.04,Cash
299,383,2025-11-05,4794.27,Other
300,21,2024-02-02,295.62,Bank Transfer
301,465,2025-07-23,2900.05,Bank Transfer
302,472,2025-12-17,3780.63,Other
303,60,2024-12-01,2372.14,Bank Transfer
304,443,2024-02-24,4568.68,Bank Transfer
305,139,2024-08-14,3438.76,Bank Transfer
306,233,2025-07-07,577.35,Cash
307,493,2025-05-07,2297.77,Bank Transfer
308,318,2026-01-11,4602.74,Bank Transfer
309,451,2025-06-27,4900.36,Cash
310,178,2025-11-16,3800.58,Cash
311,490,2024-10-29,1391.94,Insurance
312,48,2025-09-02,3306.19,Bank Transfer
313,130,2024-04-23,2298.01,Cash
314,2,2025-02-20,4597.62,Insurance
315,432,2024-05-24,4557.96,Insurance
316,220,2025-07-03,2788.76,Bank Transfer
317,439,2026-03-13,1602.83,Bank Transfer
318,121,2026-03-06,4375.18,Insurance
319,113,2025-05-24,4659.25,Insurance
320,218,2025-03-19,1834.86,Other
321,456,2024-12-26,3110.50,Cash
322,87,2025-11-09,1181.73,Bank Transfer
323,473,2026-03-03,3997.77,Credit Card
324,458,2025-07-28,556.30,Insurance
325,93,2024-07-07,1936.93,Bank Transfer
326,262,2024-11-13,3088.82,Cash
327,270,2025-10-25,1990.79,Bank Transfer
328,198,2024-06-13,2765.90,Credit Card
329,207,2024-08-11,3576.03,Other
330,482,2024-03-02,3313.07,Credit Card
331,103,2024-03-29,3308.39,Cash
332,323,2024-07-23,432.30,Credit Card
333,177,2025-03-17,612.73,Cash
334,485,2025-03-30,4488.64,Credit Card
335,249,2025-06-02,1483.17,Credit Card
336,153,2024-11-10,2308.39,Other
337,404,2024-07-15,2255.79,Credit Card
338,117,2026-02-27,3121.94,Cash
339,248,2026-02-20,1932.31,Other
340,358,2025-02-21,2809.95,Credit Card
341,178,2025-06-18,2754.11,Other
342,486,2024-10-06,3324.56,Cash
343,111,2025-10-11,3540.57,Bank Transfer
344,357,2025-11-28,3419.98,Bank Transfer
345,8,2025-06-24,2264.77,Insurance
346,141,2024-01-29,4333.02,Credit Card
347,313,2025-05-03,799.84,Insurance
348,54,2026-02-02,2461.16,Insurance
349,175,2025-03-25,2451.27,Other
350,415,2024-02-26,1955.08,Other
351,460,2024-09-05,3716.83,Bank Transfer
352,77,2024-12-02,665.40,Other
353,20,2025-09-03,1615.47,Bank Transfer
354,161,2024-03-20,2945.89,Credit Card
355,149,2024-04-16,1877.19,Credit Card
356,264,2025-03-18,1222.62,Other
357,129,2024-01-07,380.03,Insurance
358,433,2026-03-02,481.28,Insurance
359,25,2025-10-27,3354.12,Bank Transfer
360,311,2024-04-30,1556.22,Bank Transfer
361,109,2024-09-08,2486.66,Bank Transfer
362,432,2024-07-02,149.35,Bank Transfer
363,196,2025-09-19,523.36,Insurance
364,482,2025-11-20,590.42,Bank Transfer
365,40,2024-12-25,4411.40,Credit Card
366,97,2025-05-01,2156.02,Other
367,139,2024-01-08,3632.97,Cash
368,104,2024-09-30,404.93,Insurance
369,260,2024-03-11,127.23,Cash
370,250,2024-04-23,2890.54,Insurance
371,329,2024-04-14,3302.09,Bank Transfer
372,463,2024-12-19,553.23,Other
373,184,2024-04-11,1434.88,Bank Transfer
374,168,2025-06-28,3885.27,Other
375,250,2024-08-05,1949.12,Cash
376,490,2025-04-23,915.46,Insurance
377,219,2026-01-13,435.53,Other
378,26,2025-07-01,1323.34,Other
379,266,2024-03-11,1943.97,Other
380,160,2025-06-26,742.61,Insurance
381,366,2024-06-22,4896.23,Cash
382,422,2025-08-31,3040.50,Insurance
383,476,2024-01-18,3948.83,Insurance
384,142,2024-09-13,1734.91,Credit Card
385,12,2025-11-09,83.93,Cash
386,134,2025-01-01,3580.37,Cash
387,346,2025-09-16,3092.64,Other
388,43,2025-06-09,2423.07,Credit Card
389,28,2024-01-30,927.88,Insurance
390,123,2026-01-01,4973.70,Insurance
391,94,2024-06-19,1073.31,Insurance
392,114,2025-03-12,3084.89,Bank Transfer
393,31,2024-09-25,4164.19,Credit Card
394,470,2025-10-26,1959.90,Cash
395,170,2025-08-22,287.96,Insurance
396,120,2024-12-31,1093.68,Credit Card
397,85,2025-03-04,3800.22,Bank Transfer
398,134,2025-08-26,1069.85,Bank Transfer
399,441,2024-08-02,4808.85,Other
400,240,2024-07-13,3855.89,Bank Transfer
401,50,2024-07-18,3401.38,Bank Transfer
402,415,2025-09-21,2957.66,Bank Transfer
403,75,2025-03-06,343.22,Insurance
404,422,2024-03-04,3589.32,Other
405,288,2025-09-29,3547.61,Credit Card
406,240,2024-09-18,4418.30,Bank Transfer
407,46,2024-09-21,3290.89,Credit Card
408,59,2025-01-31,1490.25,Cash
409,312,2025-09-21,4280.38,Credit Card
410,223,2025-01-10,2128.45,Cash
411,499,2025-10-18,4891.28,Credit Card
412,358,2025-01-04,4624.83,Credit Card
413,220,2024-02-11,258.63,Credit Card
414,277,2026-02-09,3247.35,Credit Card
415,86,2024-07-12,2627.21,Credit Card
416,185,2025-04-18,3065.62,Other
417,97,2025-07-04,3249.07,Bank Transfer
418,473,2025-08-09,1538.03,Other
419,290,2024-06-20,820.27,Cash
420,329,2025-05-09,1429.72,Insurance
421,165,2024-06-29,3002.61,Other
422,228,2025-04-14,1809.07,Bank Transfer
423,162,2024-04-14,853.85,Other
424,345,2025-09-24,3372.82,Insurance
425,104,2025-07-02,981.28,Insurance
426,209,2025-03-09,1767.93,Insurance
427,30,2024-08-03,447.41,Cash
428,41,2024-06-20,681.72,Cash
429,126,2024-08-17,3237.84,Other
430,253,2024-12-30,3940.83,Bank Transfer
431,92,2024-03-16,1541.47,Other
432,110,2024-12-09,1478.19,Bank Transfer
433,387,2026-03-13,2297.64,Other
434,260,2025-06-23,3575.22,Credit Card
435,317,2025-03-11,4433.58,Credit Card
436,288,2025-12-10,679.61,Credit Card
437,191,2024-10-20,1114.89,Other
438,439,2024-07-15,4694.26,Credit Card
439,478,2026-02-12,1731.13,Cash
440,181,2024-03-05,2476.43,Bank Transfer
441,405,2025-01-23,2128.89,Cash
442,482,2026-03-16,2191.14,Other
443,371,2025-08-10,3219.59,Credit Card
444,498,2026-02-05,1315.99,Cash
445,493,2025-01-01,2405.33,Bank Transfer
446,213,2024-04-17,135.07,Cash
447,341,2024-03-19,242.54,Credit Card
448,420,2024-01-21,853.56,Cash
449,367,2024-05-23,1087.76,Bank Transfer
450,493,2025-01-07,577.72,Cash
451,441,2025-03-03,3001.74,Credit Card
452,70,2024-07-14,808.79,Bank Transfer
453,467,2024-09-22,538.67,Credit Card
454,479,2024-06-17,2075.96,Credit Card
455,322,2024-05-16,2091.68,Credit Card
456,59,2024-10-29,1357.21,Credit Card
457,466,2025-05-01,576.69,Cash
458,137,2024-11-25,666.95,Other
459,202,2025-05-15,2740.63,Insurance
460,253,2025-07-17,2525.21,Cash
461,393,2024-03-21,3411.02,Bank Transfer
462,390,2025-09-12,547.07,Credit Card
463,217,2025-07-03,1527.64,Credit Card
464,465,2024-06-28,3546.00,Insurance
465,98,2024-12-11,1808.89,Bank Transfer
466,213,2025-09-17,3418.36,Credit Card
467,99,2026-01-04,1965.13,Other
468,362,2024-07-11,478.44,Bank Transfer
469,228,2024-03-25,2859.48,Credit Card
470,91,2024-07-24,3530.86,Cash
471,182,2024-10-27,1736.64,Credit Card
472,233,2025-07-26,3661.42,Insurance
473,328,2026-03-07,850.13,Insurance
474,4,2024-07-05,4400.27,Bank Transfer
475,220,2024-10-18,158.41,Other
476,120,2024-01-15,3131.54,Other
477,274,2025-03-19,2568.70,Cash
478,308,2026-01-11,1896.73,Insurance
479,357,2025-07-28,2211.30,Other
480,201,2025-08-06,2878.59,Other
481,112,2025-11-14,2646.82,Cash
482,292,2025-10-23,660.49,Other
483,149,2025-07-29,4851.66,Insurance
484,140,2025-02-02,632.66,Credit Card
485,494,2025-11-06,463.18,Cash
486,19,2024-05-25,1480.91,Bank Transfer
487,173,2024-04-25,2497.48,Bank Transfer
488,267,2026-02-17,2012.44,Credit Card
489,461,2025-04-08,1093.18,Credit Card
490,104,2024-06-18,4403.76,Cash
491,67,2025-05-31,3887.14,Other
492,310,2025-02-15,2071.58,Insurance
493,257,2025-03-19,4055.97,Other
494,189,2025-07-06,4174.98,Bank Transfer
495,109,2024-03-12,490.02,Credit Card
496,468,2024-03-09,343.90,Insurance
497,182,2026-02-11,466.94,Other
498,130,2025-04-17,1073.39,Other
499,479,2025-02-16,3683.59,Bank Transfer
500,384,2024-07-24,436.95,Bank Transfer
501,182,2025-03-25,2501.59,Cash
502,478,2024-07-28,3417.61,Credit Card
503,237,2024-12-04,2887.69,Cash
504,286,2025-10-06,2751.67,Other
505,391,2024-12-04,2762.63,Other
506,232,2025-09-14,985.81,Bank Transfer
507,445,2025-06-17,1532.00,Bank Transfer
508,462,2024-06-13,982.29,Bank Transfer
509,291,2024-10-10,3857.25,Credit Card
510,380,2024-04-13,885.67,Other
511,222,2024-02-16,2150.10,Cash
512,388,2025-10-01,4482.13,Cash
513,283,2024-02-15,3426.54,Cash
514,335,2025-08-11,4370.37,Other
515,300,2024-04-28,1618.98,Bank Transfer
516,382,2024-04-16,1494.46,Bank Transfer
517,404,2024-03-02,2813.86,Cash
518,341,2024-03-22,3534.97,Bank Transfer
519,246,2025-10-06,1400.15,Credit Card
520,497,2025-09-07,3455.84,Credit Card
521,402,2025-02-28,1310.56,Credit Card
522,88,2025-02-25,1550.88,Credit Card
523,164,2025-12-09,1371.36,Credit Card
524,359,2025-08-11,3712.02,Credit Card
525,147,2024-12-14,1098.82,Insurance
526,7,2024-10-23,676.14,Cash
527,275,2024-03-26,2295.07,Bank Transfer
528,71,2025-01-11,3379.84,Other
529,359,2025-12-19,4121.50,Insurance
530,271,2025-10-28,1720.23,Credit Card
531,232,2025-03-18,2540.41,Credit Card
532,10,2025-08-05,534.59,Other
533,53,2024-06-18,804.44,Insurance
534,200,2024-05-05,4681.94,Credit Card
535,400,2026-02-24,2707.64,Other
536,412,2025-05-14,57.93,Cash
537,312,2026-02-19,4218.22,Other
538,362,2024-01-16,3056.61,Credit Card
539,184,2024-04-13,4163.54,Bank Transfer
540,319,2024-03-20,420.27,Bank Transfer
541,333,2024-08-06,1216.88,Insurance
542,29,2024-05-18,3370.02,Bank Transfer
543,459,2024-07-27,1234.26,Other
544,243,2024-01-02,2680.35,Cash
545,158,2025-10-24,1216.56,Insurance
546,472,2024-12-19,2774.19,Credit Card
547,394,2025-01-11,1031.65,Cash
548,253,2024-05-21,225.62,Cash
549,166,2024-08-23,1238.63,Cash
550,4,2024-07-23,4628.55,Credit Card
551,173,2025-01-26,2898.15,Insurance
552,140,2025-03-31,3829.29,Cash
553,98,2024-08-29,396.25,Cash
554,183,2024-04-03,2994.49,Other
555,117,2025-09-16,1488.87,Other
556,385,2026-03-19,3477.15,Credit Card
557,73,2025-02-26,3297.24,Credit Card
558,45,2025-01-11,1548.03,Credit Card
559,10,2025-08-30,4408.54,Other
560,16,2024-07-30,3228.05,Bank Transfer
561,355,2025-08-05,631.62,Cash
562,183,2025-01-25,3220.94,Credit Card
563,440,2025-12-27,1926.86,Insurance
564,46,2024-07-31,2034.65,Insurance
565,452,2025-12-23,1018.97,Cash
566,383,2024-11-04,1657.87,Credit Card
567,264,2026-02-11,3212.62,Credit Card
568,72,2024-11-28,3450.35,Bank Transfer
569,262,2025-11-06,1638.92,Credit Card
570,422,2026-01-03,2998.15,Other
571,291,2024-08-04,3574.56,Other
572,435,2025-02-20,1808.67,Insurance
573,234,2024-11-18,2771.42,Credit Card
574,178,2024-06-29,640.46,Other
575,255,2024-01-01,4897.46,Insurance
576,151,2024-01-07,4775.27,Bank Transfer
577,46,2024-05-27,1021.58,Cash
578,166,2024-10-14,252.50,Bank Transfer
579,134,2025-04-16,2540.03,Cash
580,453,2025-04-08,4455.37,Cash
581,55,2025-02-13,1024.29,Insurance
582,325,2024-01-22,4795.23,Bank Transfer
583,293,2024-04-27,1300.83,Cash
584,346,2024-12-20,670.58,Other
585,322,2025-02-10,1044.98,Insurance
586,479,2024-10-31,877.30,Credit Card
587,374,2024-03-16,978.11,Insurance
588,485,2024-09-24,3436.85,Bank Transfer
589,104,2025-01-31,2457.92,Other
590,332,2026-02-25,2431.25,Insurance
591,246,2025-11-05,1563.60,Insurance
592,323,2024-07-09,1962.68,Other
593,210,2025-12-27,1012.69,Cash
594,354,2024-08-26,1070.31,Credit Card
595,250,2025-09-21,3885.66,Other
596,486,2024-05-18,4068.33,Insurance
597,1,2024-06-24,3222.86,Insurance
598,342,2025-05-10,647.10,Other
599,198,2024-03-13,1518.22,Other
600,145,2025-09-30,515.41,Other
601,181,2024-05-02,1575.57,Insurance
602,182,2025-03-08,4756.86,Insurance
603,379,2024-02-12,3991.28,Other
604,145,2025-08-20,4745.31,Credit Card
605,204,2024-01-30,4104.68,Other
606,451,2024-07-07,4211.36,Other
607,235,2025-08-02,1601.26,Insurance
608,37,2024-11-10,3904.45,Cash
609,290,2025-01-24,1943.55,Bank Transfer
610,315,2024-06-22,3122.21,Credit Card
611,81,2026-01-19,1719.87,Insurance
612,271,2025-09-05,277.57,Other
613,259,2024-12-09,3994.44,Cash
614,217,2025-08-05,123.92,Cash
615,417,2025-12-21,4398.33,Credit Card
616,147,2026-01-23,3754.78,Insurance
617,378,2026-01-16,4803.26,Cash
618,41,2024-07-07,293.87,Insurance
619,109,2024-01-26,4165.52,Credit Card
620,463,2024-08-27,4372.67,Bank Transfer
621,327,2025-08-10,4170.37,Cash
622,356,2025-12-04,739.51,Credit Card
623,488,2024-02-06,2350.25,Credit Card
624,101,2024-02-16,3957.52,Credit Card
625,191,2026-01-23,2789.57,Credit Card
626,115,2025-08-13,2727.67,Bank Transfer
627,35,2024-04-18,3508.76,Credit Card
628,321,2026-02-21,4959.81,Other
629,255,2026-02-20,3719.93,Credit Card
630,278,2025-11-08,2315.77,Credit Card
631,225,2025-07-18,4956.77,Insurance
632,225,2025-06-30,4117.04,Credit Card
633,201,2024-01-08,3192.34,Bank Transfer
634,94,2024-05-13,2986.13,Insurance
635,415,2026-02-15,4246.83,Insurance
636,169,2024-04-16,1557.72,Bank Transfer
637,408,2025-06-05,1915.17,Insurance
638,139,2024-07-21,167.01,Insurance
639,80,2024-01-24,1941.51,Cash
640,159,2025-11-23,3397.42,Other
641,326,2024-11-01,4056.97,Other
642,321,2024-05-06,2958.66,Insurance
643,73,2024-02-21,907.22,Other
644,264,2024-03-22,361.61,Cash
645,389,2024-01-05,2612.71,Credit Card
646,473,2025-10-24,1131.33,Cash
647,149,2024-03-27,2917.05,Other
648,60,2026-02-11,4950.09,Insurance
649,303,2025-02-24,1283.46,Credit Card
650,11,2025-10-02,1721.16,Cash
651,233,2026-02-10,4761.91,Other
652,492,2024-12-13,311.35,Bank Transfer
653,145,2024-09-01,4242.19,Credit Card
654,226,2024-04-09,4137.62,Other
655,86,2025-08-07,2814.32,Cash
656,73,2025-12-24,2624.41,Bank Transfer
657,391,2024-04-24,3991.12,Insurance
658,45,2025-11-21,1919.94,Credit Card
659,351,2025-02-22,4054.11,Bank Transfer
660,426,2024-02-29,2622.15,Other
661,393,2024-12-04,4909.65,Cash
662,484,2025-11-01,3275.88,Credit Card
663,68,2024-09-03,2554.38,Credit Card
