item_id,invoice_id,service_name,cost
71,198,ECG,1948.76
72,255,CT Scan,766.33
73,409,Physical Examination,570.11
74,43,Ultrasound,203.91
75,309,X-Ray,1113.68
76,165,MRI Scan,206.13
77,339,Hospital Stay,647.67
78,309,Ultrasound,374.96
79,228,ECG,921.90
80,373,ECG,1248.96
81,223,Hospital Stay,1296.97
82,406,Blood Test,196.33
83,327,Ultrasound,758.46
84,411,X-Ray,1907.94
85,74,Medication Charge,1372.27
86,225,Blood Test,296.15
87,121,ECG,756.19
88,487,Medication Charge,113.15
89,79,CT Scan,1900.21
90,191,CT Scan,1538.01
91,294,X-Ray,1082.45
92,204,ECG,1316.64
93,128,MRI Scan,100.53
94,96,CT Scan,1059.60
95,468,Physical Examination,279.63
96,397,Hospital Stay,1422.87
97,110,Medication Charge,606.87
98,470,CT Scan,440.35
99,70,MRI Scan,931.48
100,461,CT Scan,1994.66
101,415,ECG,1352.29
102,364,MRI Scan,1122.49
103,149,Hospital Stay,1710.16
104,365,X-Ray,1597.71
105,261,Consultation,286.66
106,103,X-Ray,511.64
107,253,Blood Test,753.75
108,294,ECG,961.44
109,283,X-Ray,1243.30
110,45,MRI Scan,653.12
111,368,CT Scan,1075.11
112,394,Ultrasound,1655.51
113,38,X-Ray,1946.14
114,329,MRI Scan,927.45
115,349,Physical Examination,721.80
116,450,Physical Examination,1297.60
117,94,X-Ray,893.61
118,467,Blood Test,1671.21
119,266,X-Ray,643.04
120,83,ECG,1872.74
121,116,ECG,1897.59
122,266,Hospital Stay,1699.57
123,129,Consultation,1288.36
124,283,Hospital Stay,294.08
125,156,Medication Charge,1090.28
126,258,X-Ray,1204.03
127,298,X-Ray,383.84
128,320,Medication Charge,708.36
129,474,Medication Charge,130.33
130,443,Blood Test,208.38
131,486,Medication Charge,566.08
132,108,Medication Charge,862.34
133,328,Blood Test,1021.17
134,322,Physical Examination,614.86
135,490,Hospital Stay,991.74
136,413,Ultrasound,630.00
137,38,Blood Test,358.26
138,213,CT Scan,955.66
139,175,Medication Charge,330.15
140,442,ECG,1481.69
141,441,ECG,1951.98
142,67,ECG,1054.21
143,55,ECG,521.39
144,63,Hospital Stay,926.71
145,73,MRI Scan,148.68
146,485,Ultrasound,1735.12
147,215,Consultation,1927.24
148,462,X-Ray,1636.28
149,479,Medication Charge,1456.20
150,98,X-Ray,1021.62
151,264,CT Scan,1022.58
152,158,CT Scan,95.19
153,484,Ultrasound,1035.62
154,495,Consultation,469.53
155,181,Blood Test,148.55
156,254,Medication Charge,1770.56
157,335,CT Scan,607.21
158,5,MRI Scan,890.31
159,452,Hospital Stay,1468.64
160,392,Ultrasound,763.58
161,206,Blood Test,1162.05
162,100,ECG,1128.78
163,38,Ultrasound,1033.30
164,392,Physical Examination,595.46
165,320,Medication Charge,281.68
166,500,MRI Scan,818.11
167,407,ECG,1137.77
168,188,X-Ray,438.16
169,261,Ultrasound,1025.15
170,24,Blood Test,317.22
171,171,CT Scan,1062.70
172,77,Medication Charge,1791.61
173,72,ECG,1866.17
174,164,X-Ray,816.26
175,316,Hospital Stay,1207.76
176,260,Physical Examination,1088.06
177,363,Medication Charge,634.59
178,418,Blood Test,768.30
179,345,MRI Scan,1960.80
180,299,Hospital Stay,1603.67
181,372,Blood Test,1213.97
182,136,Medication Charge,1176.39
183,370,Blood Test,1187.87
184,88,Physical Examination,1276.60
185,318,Ultrasound,338.16
186,349,Consultation,111.56
187,486,MRI Scan,422.03
188,226,ECG,866.62
189,212,Consultation,850.24
190,397,Medication Charge,1845.02
191,447,Blood Test,1426.26
192,266,Consultation,1143.73
193,340,CT Scan,1074.68
194,161,X-Ray,946.34
195,273,ECG,1115.23
196,347,Hospital Stay,1239.65
197,99,Consultation,594.06
198,153,Consultation,1885.90
199,153,Hospital Stay,1424.56
200,354,CT Scan,668.23
201,179,Physical Examination,1870.72
202,408,Hospital Stay,611.19
203,294,Physical Examination,790.40
204,203,ECG,1911.49
205,412,X-Ray,616.38
206,148,MRI Scan,725.41
207,227,Hospital Stay,1507.31
208,110,Consultation,1664.51
209,139,Physical Examination,1407.53
210,71,MRI Scan,1250.57
211,301,Consultation,522.79
212,343,Physical Examination,490.06
213,120,Blood Test,245.39
214,170,CT Scan,246.06
215,395,X-Ray,60.10
216,282,X-Ray,843.47
217,479,CT Scan,981.02
218,103,Hospital Stay,676.28
219,331,Blood Test,1820.48
220,46,Medication Charge,502.83
221,379,Blood Test,1830.80
222,90,Ultrasound,1770.38
223,91,Blood Test,1994.49
224,204,CT Scan,413.31
225,384,Hospital Stay,1759.65
226,5,Hospital Stay,1157.53
227,55,ECG,604.90
228,329,Physical Examination,1072.42
229,456,X-Ray,1709.57
230,240,Hospital Stay,425.98
231,58,ECG,366.86
232,235,Hospital Stay,1451.27
233,8,ECG,1592.00
234,291,Consultation,392.22
235,439,Ultrasound,1662.63
236,264,ECG,219.14
237,343,MRI Scan,410.32
238,72,CT Scan,681.02
239,128,Blood Test,558.53
240,121,CT Scan,1519.83
241,489,ECG,638.79
242,371,Medication Charge,72.30
243,335,ECG,1400.90
244,32,MRI Scan,957.52
245,82,Ultrasound,1387.84
246,473,Hospital Stay,1396.07
247,328,Hospital Stay,766.71
248,114,Consultation,1916.85
249,245,X-Ray,937.21
250,311,ECG,860.90
251,282,CT Scan,1526.83
252,411,Consultation,1535.63
253,349,Medication Charge,1752.61
254,42,Physical Examination,921.16
255,361,ECG,202.30
256,289,MRI Scan,170.43
257,281,Physical Examination,444.21
258,275,X-Ray,370.85
259,438,Physical Examination,911.59
260,349,Consultation,1447.99
261,251,MRI Scan,1802.83
262,229,Blood Test,934.19
263,263,Ultrasound,940.76
264,30,Physical Examination,951.64
265,414,Hospital Stay,1460.40
266,203,Hospital Stay,1642.08
267,382,Consultation,1177.71
268,24,Ultrasound,721.83
269,33,Physical Examination,1988.54
270,479,MRI Scan,1972.97
271,242,Blood Test,609.83
272,93,X-Ray,1543.36
273,374,Ultrasound,780.20
274,457,Ultrasound,924.65
275,470,Ultrasound,782.51
276,350,Physical Examination,309.33
277,441,ECG,281.33
278,276,Ultrasound,1081.24
279,373,Consultation,1677.90
280,388,Blood Test,1958.06
281,238,Physical Examination,877.05
282,195,Consultation,532.65
283,178,X-Ray,587.52
284,480,MRI Scan,112.82
285,339,Ultrasound,1249.10
286,480,Blood Test,519.30
287,35,MRI Scan,1208.19
288,229,Medication Charge,1360.45
289,447,Blood Test,527.23
290,23,Ultrasound,905.98
291,277,Consultation,1521.05
292,398,Blood Test,323.26
293,149,Consultation,1640.78
294,375,Medication Charge,671.86
295,307,ECG,511.96
296,449,X-Ray,1972.11
297,267,Consultation,856.44
298,141,Blood Test,1135.60
299,303,X-Ray,1270.69
300,219,Physical Examination,1016.46
301,498,ECG,1886.09
302,344,Ultrasound,1582.32
303,164,Ultrasound,846.11
304,154,Ultrasound,408.56
305,276,CT Scan,519.89
306,116,Hospital Stay,1722.21
307,74,CT Scan,1833.75
308,288,Ultrasound,1937.18
309,286,Physical Examination,311.48
310,125,Hospital Stay,446.51
311,332,MRI Scan,1848.34
312,434,ECG,230.30
313,371,Consultation,150.50
314,194,Medication Charge,1225.70
315,448,MRI Scan,416.92
316,390,Medication Charge,1462.40
317,287,Consultation,984.82
318,446,ECG,641.22
319,466,Blood Test,463.03
320,98,MRI Scan,1506.41
321,387,CT Scan,1833.16
322,357,Medication Charge,1422.35
323,204,Consultation,1126.55
324,398,Hospital Stay,792.29
325,274,ECG,651.42
326,185,Physical Examination,1771.48
327,239,MRI Scan,1615.49
328,370,CT Scan,1535.18
329,164,Consultation,772.87
330,212,Blood Test,1146.92
331,114,X-Ray,81.63
332,284,Medication Charge,1179.33
333,214,Hospital Stay,347.20
334,169,Consultation,790.69
335,427,Consultation,1023.64
336,336,ECG,551.79
337,421,CT Scan,1934.69
338,329,CT Scan,948.62
339,376,ECG,380.07
340,369,Physical Examination,1002.22
341,470,Physical Examination,1981.13
342,491,Blood Test,1071.69
343,430,MRI Scan,1893.12
344,343,Blood Test,1540.46
345,212,X-Ray,1692.96
346,119,MRI Scan,1428.98
347,5,Consultation,1036.18
348,192,Blood Test,1254.78
349,342,Medication Charge,1829.87
350,338,CT Scan,80.68
351,273,Physical Examination,852.11
352,9,Physical Examination,1458.28
353,275,Hospital Stay,83.43
354,417,Ultrasound,1622.03
355,466,X-Ray,258.68
356,50,Physical Examination,340.35
357,99,Medication Charge,1076.59
358,418,ECG,571.28
359,204,MRI Scan,777.45
360,208,CT Scan,1151.75
361,357,Consultation,634.95
362,424,MRI Scan,1324.78
363,440,Blood Test,232.33
364,195,Ultrasound,1127.77
365,29,Blood Test,1420.55
366,43,CT Scan,1698.39
367,331,ECG,1153.42
368,440,MRI Scan,1794.84
369,471,Blood Test,498.04
370,462,Medication Charge,977.23
371,24,MRI Scan,1384.64
372,144,Physical Examination,1148.84
373,17,X-Ray,1861.09
374,162,Blood Test,1924.86
375,301,X-Ray,1516.90
376,365,Ultrasound,1861.31
377,154,X-Ray,1149.72
378,291,Ultrasound,1370.22
379,277,ECG,798.50
380,379,X-Ray,1591.47
381,353,MRI Scan,1026.55
382,499,ECG,154.71
383,224,Consultation,1685.42
384,175,Medication Charge,1549.56
385,489,Medication Charge,823.57
386,397,ECG,107.77
387,140,CT Scan,1006.68
388,183,Physical Examination,1885.23
389,222,X-Ray,1375.40
390,339,Ultrasound,217.10
391,317,Hospital Stay,1606.21
392,366,MRI Scan,209.97
393,79,Ultrasound,1437.77
394,325,X-Ray,1492.33
395,163,ECG,257.77
396,3,Hospital Stay,917.23
397,390,Hospital Stay,249.35
398,45,X-Ray,890.41
399,286,Physical Examination,1049.26
400,53,Blood Test,224.76
401,284,MRI Scan,1214.00
402,402,ECG,1734.25
403,7,Hospital Stay,856.93
404,399,MRI Scan,1463.45
405,287,Consultation,1165.32
406,87,Ultrasound,380.53
407,138,Hospital Stay,573.39
408,75,MRI Scan,376.05
409,142,Ultrasound,634.52
410,401,MRI Scan,754.19
411,484,Consultation,1455.75
412,254,Medication Charge,1252.50
413,235,MRI Scan,314.20
414,4,Ultrasound,697.82
415,318,Ultrasound,1617.95
416,169,CT Scan,702.74
417,418,Medication Charge,315.44
418,165,Medication Charge,1897.19
419,103,CT Scan,662.66
420,494,Ultrasound,1939.01
421,150,CT Scan,1937.14
422,401,Consultation,685.48
423,144,Ultrasound,761.78
424,478,Medication Charge,439.61
425,280,X-Ray,1379.34
426,282,Blood Test,1908.36
427,237,Consultation,904.99
428,150,MRI Scan,1646.98
429,408,Ultrasound,1362.31
430,72,Hospital Stay,521.94
431,338,X-Ray,1444.71
432,405,Ultrasound,194.23
433,307,CT Scan,1185.38
434,274,Physical Examination,1850.82
435,446,Ultrasound,1110.11
436,405,ECG,1418.19
437,416,Physical Examination,1207.95
438,469,MRI Scan,263.27
439,128,ECG,374.36
440,314,Blood Test,1148.28
441,331,Ultrasound,1935.28
442,170,Ultrasound,256.59
443,51,Hospital Stay,482.90
444,383,Physical Examination,1138.09
445,353,Medication Charge,481.01
446,192,Ultrasound,952.97
447,348,Medication Charge,1396.35
448,78,ECG,1995.52
449,248,MRI Scan,626.09
450,472,MRI Scan,276.34
451,482,X-Ray,729.24
452,176,CT Scan,1579.33
453,267,CT Scan,729.19
454,50,CT Scan,1457.89
455,232,ECG,180.99
456,23,MRI Scan,94.04
457,176,MRI Scan,1370.42
458,85,Consultation,1056.19
459,283,X-Ray,695.43
460,219,CT Scan,502.12
461,208,X-Ray,413.45
462,337,Ultrasound,821.39
463,378,Medication Charge,1772.04
464,231,Medication Charge,887.63
465,3,Consultation,451.28
466,386,MRI Scan,1175.83
467,410,Physical Examination,414.57
468,167,Consultation,942.22
469,135,CT Scan,1079.04
470,328,ECG,1214.09
471,313,Ultrasound,1194.66
472,179,ECG,1698.76
473,317,X-Ray,1636.79
474,362,Hospital Stay,1841.43
475,303,MRI Scan,1360.61
476,161,MRI Scan,515.22
477,60,X-Ray,777.95
478,73,Physical Examination,807.50
479,306,X-Ray,1170.87
480,217,X-Ray,999.01
481,276,X-Ray,1132.08
482,251,Hospital Stay,323.58
483,162,CT Scan,1257.85
484,444,ECG,1906.09
485,249,X-Ray,430.50
486,197,Physical Examination,1035.60
487,254,Ultrasound,1385.16
488,213,CT Scan,1002.96
489,43,Medication Charge,110.18
490,390,Consultation,619.58
491,141,Consultation,1098.34
492,87,CT Scan,1153.02
493,396,CT Scan,1121.97
494,58,Medication Charge,272.70
495,397,Physical Examination,1655.40
496,188,Physical Examination,1654.09
497,22,CT Scan,1115.39
498,218,MRI Scan,1485.18
499,335,Consultation,630.53
500,17,CT Scan,562.49
501,442,MRI Scan,906.19
502,61,Consultation,459.26
503,378,Medication Charge,1393.81
504,441,Medication Charge,1283.90
505,85,Medication Charge,321.51
506,106,Consultation,1620.61
507,292,ECG,1087.95
508,306,Physical Examination,378.34
509,361,Hospital Stay,614.20
510,137,Physical Examination,1971.70
511,348,MRI Scan,314.40
512,385,Ultrasound,1841.60
513,142,X-Ray,1417.78
514,68,Consultation,335.17
515,165,Consultation,1534.87
516,347,Ultrasound,1004.44
517,296,Hospital Stay,1274.24
518,193,CT Scan,197.26
519,407,MRI Scan,835.56
520,384,Hospital Stay,1404.67
521,450,ECG,936.66
522,250,ECG,1184.81
523,445,MRI Scan,1475.32
524,235,ECG,1707.71
525,408,Physical Examination,825.55
526,496,Ultrasound,1658.45
527,254,Hospital Stay,679.59
528,146,ECG,1117.26
529,67,Medication Charge,1712.22
530,404,ECG,1793.60
531,391,Blood Test,139.59
532,321,CT Scan,81.75
533,476,X-Ray,910.51
534,1,Ultrasound,444.52
535,353,X-Ray,1770.19
536,155,X-Ray,1755.13
537,449,Hospital Stay,232.01
538,185,Hospital Stay,210.72
539,341,X-Ray,150.99
540,321,Hospital Stay,1465.68
541,387,Consultation,887.00
542,47,MRI Scan,52.12
543,245,MRI Scan,308.76
544,116,Physical Examination,1375.97
545,5,Blood Test,1406.41
546,419,MRI Scan,1976.90
547,217,X-Ray,981.52
548,118,Ultrasound,224.20
549,413,MRI Scan,251.24
550,189,Hospital Stay,317.40
551,397,X-Ray,1301.07
552,347,X-Ray,183.40
553,289,Blood Test,1240.12
554,85,CT Scan,734.82
555,110,X-Ray,1843.79
556,316,CT Scan,1726.93
557,45,MRI Scan,323.03
558,64,Medication Charge,1473.52
559,180,Ultrasound,663.28
560,72,Consultation,590.09
561,44,Consultation,1129.12
562,308,Medication Charge,605.60
563,482,Blood Test,1703.39
564,338,Hospital Stay,450.62
565,311,Physical Examination,417.86
566,201,Hospital Stay,1310.03
567,402,Consultation,1015.03
568,58,Consultation,1024.19
569,305,MRI Scan,1080.16
570,7,ECG,1871.15
571,68,Ultrasound,1728.59
572,292,Ultrasound,762.55
573,350,X-Ray,1537.32
574,489,MRI Scan,82.54
575,35,Blood Test,561.26
576,21,Blood Test,1899.93
577,204,Physical Examination,608.65
578,365,Physical Examination,1545.86
579,217,Ultrasound,210.73
580,275,Physical Examination,1251.29
581,143,MRI Scan,654.32
582,262,Consultation,1949.91
583,80,Physical Examination,687.16
584,301,MRI Scan,654.83
585,224,Consultation,162.92
586,45,Ultrasound,276.17
587,314,Medication Charge,157.31
588,342,X-Ray,282.91
589,363,X-Ray,1417.92
590,84,CT Scan,1908.38
591,268,Physical Examination,1576.82
592,370,Hospital Stay,375.58
593,65,Hospital Stay,1479.22
594,61,Blood Test,703.27
595,220,Hospital Stay,1071.52
596,135,Medication Charge,1273.69
597,255,CT Scan,1046.02
598,29,CT Scan,1725.75
599,86,ECG,356.75
600,396,MRI Scan,1793.82
601,346,MRI Scan,495.39
602,261,Blood Test,135.87
603,442,Blood Test,526.88
604,242,ECG,796.81
605,77,X-Ray,1865.76
606,440,Blood Test,1128.09
607,468,Ultrasound,487.80
608,128,Ultrasound,1835.92
609,164,Hospital Stay,1660.69
610,293,ECG,282.83
611,345,Blood Test,399.72
612,412,Physical Examination,1963.76
613,489,Ultrasound,184.41
614,239,Hospital Stay,1558.38
615,160,ECG,218.45
616,234,Blood Test,769.39
617,150,Medication Charge,1579.79
618,379,Medication Charge,523.04
619,189,Medication Charge,1945.12
620,396,Consultation,1478.30
621,280,Consultation,343.60
622,478,Ultrasound,96.62
623,278,ECG,1290.09
624,356,Blood Test,1904.43
625,1,Ultrasound,1705.56
626,373,Hospital Stay,252.70
627,272,Consultation,868.64
628,493,Blood Test,1946.49
629,73,Hospital Stay,231.40
630,472,Consultation,1799.71
631,267,Ultrasound,1416.65
632,191,CT Scan,1950.38
633,44,Medication Charge,236.38
634,69,Ultrasound,195.92
635,291,Blood Test,898.22
636,494,X-Ray,511.70
637,134,ECG,1855.78
638,202,ECG,670.21
639,140,Consultation,195.64
640,104,X-Ray,1570.88
641,300,MRI Scan,353.05
642,85,CT Scan,958.81
643,209,MRI Scan,1095.05
644,494,Consultation,931.24
645,238,Hospital Stay,1712.34
646,47,X-Ray,1624.81
647,156,Medication Charge,128.64
648,428,ECG,339.23
649,365,Consultation,1938.38
650,203,Physical Examination,145.45
651,154,Hospital Stay,1649.17
652,90,Blood Test,1906.59
653,438,CT Scan,1134.11
654,282,Consultation,234.71
655,53,X-Ray,286.83
656,32,Consultation,304.89
657,422,Ultrasound,775.87
658,323,MRI Scan,1185.53
659,133,MRI Scan,92.51
660,34,Consultation,1809.87
661,228,X-Ray,229.36
662,434,ECG,288.93
663,483,CT Scan,148.74
664,474,Medication Charge,894.65
665,371,Ultrasound,1017.45
666,196,Ultrasound,386.97
667,110,X-Ray,586.21
668,229,X-Ray,117.57
669,318,Medication Charge,529.28
670,152,CT Scan,853.38
671,282,CT Scan,168.91
672,144,Ultrasound,317.61
673,103,Physical Examination,535.84
674,411,Physical Examination,1599.95
675,196,ECG,985.38
676,401,CT Scan,720.87
677,290,Physical Examination,677.13
678,139,X-Ray,100.82
679,306,Consultation,107.14
680,416,Hospital Stay,164.25
681,242,Physical Examination,746.99
682,300,Consultation,1949.26
683,52,Consultation,1330.89
684,137,Physical Examination,1641.76
685,470,Blood Test,1539.90
686,486,Consultation,1172.60
687,409,Ultrasound,741.87
688,430,X-Ray,393.40
689,304,ECG,1622.11
690,358,ECG,1832.26
691,15,ECG,1897.74
692,289,X-Ray,1148.06
693,97,CT Scan,1107.14
694,90,CT Scan,124.03
695,29,Consultation,1223.24
696,11,Physical Examination,982.08
697,170,Medication Charge,442.86
698,67,ECG,1448.03
699,471,ECG,166.13
700,76,Medication Charge,1424.16
701,73,MRI Scan,1700.64
702,441,ECG,1923.09
703,192,Ultrasound,1192.73
704,173,Hospital Stay,679.08
705,500,X-Ray,1478.09
706,224,CT Scan,1315.90
707,90,Physical Examination,1402.44
708,476,Medication Charge,1584.63
709,115,Medication Charge,1638.19
710,194,Hospital Stay,1481.29
711,151,X-Ray,396.53
712,1,Medication Charge,813.62
713,395,Medication Charge,113.15
714,309,ECG,1846.02
715,496,Medication Charge,480.75
716,290,MRI Scan,1876.54
717,73,ECG,1503.42
718,122,ECG,1965.64
719,86,MRI Scan,1652.24
720,344,ECG,920.93
721,136,Consultation,536.60
722,35,ECG,550.48
723,56,Blood Test,143.89
724,225,Ultrasound,1939.75
725,453,Ultrasound,1011.51
726,194,ECG,1114.75
727,52,CT Scan,1588.02
728,296,Consultation,367.18
729,38,Blood Test,625.07
730,164,Hospital Stay,1905.74
731,38,ECG,381.71
732,193,X-Ray,1477.37
733,281,MRI Scan,709.00
734,315,CT Scan,1423.78
735,221,X-Ray,1234.27
736,223,X-Ray,154.43
737,170,Consultation,1950.08
738,210,Physical Examination,1457.97
739,374,Physical Examination,567.27
740,145,Hospital Stay,513.22
741,26,Ultrasound,1164.95
742,431,CT Scan,349.50
743,185,Blood Test,883.83
744,151,Medication Charge,986.64
745,50,Blood Test,453.56
746,327,Hospital Stay,1955.26
747,243,MRI Scan,651.29
748,204,CT Scan,1003.74
749,339,Hospital Stay,227.72
750,279,Ultrasound,410.52
751,454,Ultrasound,770.33
752,229,Blood Test,563.43
753,239,Hospital Stay,491.17
754,138,Medication Charge,170.20
755,386,MRI Scan,217.13
756,177,Physical Examination,857.27
757,388,Medication Charge,493.65
758,32,Ultrasound,1645.89
759,215,Physical Examination,1389.78
760,480,CT Scan,1166.79
761,121,CT Scan,632.76
762,203,Blood Test,1029.10
763,462,Physical Examination,1610.88
764,347,Medication Charge,337.52
765,487,CT Scan,387.11
766,86,Consultation,1626.50
767,65,Blood Test,875.58
768,350,Ultrasound,443.74
769,422,X-Ray,1676.51
770,133,ECG,1826.07
771,469,MRI Scan,219.70
772,285,Ultrasound,1126.51
773,439,Hospital Stay,1063.39
774,470,Blood Test,1583.77
775,320,Medication Charge,1069.00
776,215,MRI Scan,858.16
777,76,Medication Charge,1196.47
778,389,MRI Scan,1853.61
779,289,MRI Scan,1582.20
780,445,Physical Examination,1766.26
781,450,Ultrasound,565.07
782,336,CT Scan,1165.45
783,243,Blood Test,385.79
784,207,X-Ray,1255.58
785,349,Ultrasound,125.63
786,456,ECG,1396.50
787,26,CT Scan,1845.63
788,460,ECG,89.45
789,419,Hospital Stay,656.35
790,432,CT Scan,1723.56
791,351,MRI Scan,1946.37
792,117,X-Ray,635.94
793,381,CT Scan,1559.36
794,165,Hospital Stay,1471.16
795,310,MRI Scan,416.47
796,109,Ultrasound,1494.84
797,389,Physical Examination,1741.02
798,421,Blood Test,1054.78
799,82,MRI Scan,656.69
800,260,Ultrasound,314.52
801,436,Physical Examination,1764.70
802,15,X-Ray,425.89
803,427,Consultation,1682.10
804,128,Blood Test,940.07
805,471,ECG,1424.04
806,141,ECG,1655.84
807,259,Ultrasound,1289.05
808,64,Blood Test,521.78
809,251,Medication Charge,919.90
810,492,CT Scan,1194.42
811,180,ECG,368.85
812,458,Hospital Stay,1510.47
813,353,MRI Scan,605.89
814,198,Blood Test,367.67
815,293,Consultation,1721.37
816,332,Consultation,1371.51
817,138,Ultrasound,1050.90
818,443,Blood Test,974.49
819,68,X-Ray,1222.23
820,5,Consultation,542.16
821,413,Hospital Stay,1439.84
822,364,Hospital Stay,876.42
823,193,ECG,945.05
824,112,CT Scan,639.18
825,267,Medication Charge,824.45
826,53,Blood Test,1047.45
827,340,ECG,1144.84
828,305,Medication Charge,601.22
829,351,MRI Scan,989.39
830,173,Hospital Stay,1299.16
831,442,Hospital Stay,559.24
832,365,Hospital Stay,417.30
833,265,Consultation,1804.39
834,413,Medication Charge,837.99
835,164,X-Ray,1456.50
836,336,CT Scan,1995.06
837,133,Ultrasound,838.97
838,378,Blood Test,1186.90
839,293,Consultation,719.18
840,366,Consultation,1388.32
841,327,CT Scan,1817.73
842,344,ECG,1039.26
843,433,X-Ray,1689.25
844,449,Physical Examination,403.21
845,50,CT Scan,299.49
846,133,Physical Examination,1537.69
847,94,ECG,1326.15
848,114,ECG,485.49
849,447,Hospital Stay,869.92
850,455,ECG,774.78
851,300,Hospital Stay,954.33
852,61,CT Scan,154.67
853,325,Medication Charge,1181.61
854,318,MRI Scan,970.83
855,100,Physical Examination,283.64
856,349,Ultrasound,1083.19
857,212,Blood Test,1748.16
858,78,X-Ray,1985.08
859,176,Ultrasound,1975.02
860,458,CT Scan,329.29
861,442,X-Ray,1568.94
862,250,ECG,1280.51
863,91,ECG,1287.27
864,3,CT Scan,583.38
865,390,X-Ray,1173.74
866,82,CT Scan,1581.16
867,400,MRI Scan,302.34
868,223,Ultrasound,836.62
869,495,CT Scan,797.47
870,20,Physical Examination,438.86
871,192,Blood Test,1789.41
872,388,Physical Examination,421.62
873,347,Blood Test,1272.04
874,128,Consultation,1402.37
875,177,Hospital Stay,301.42
876,197,Physical Examination,1197.91
877,86,MRI Scan,1656.50
878,153,Hospital Stay,939.06
879,267,Medication Charge,1072.03
880,223,X-Ray,718.33
881,462,CT Scan,750.54
882,97,X-Ray,1898.76
883,471,Ultrasound,87.29
884,115,X-Ray,461.82
885,12,Medication Charge,1034.04
886,64,ECG,1436.66
887,406,Blood Test,781.63
888,328,Hospital Stay,1553.94
889,320,Blood Test,1208.15
890,25,MRI Scan,1324.46
891,11,Blood Test,1395.01
892,214,CT Scan,791.49
893,281,Hospital Stay,975.07
894,79,Consultation,1405.62
895,323,Blood Test,637.18
896,339,MRI Scan,1341.84
897,139,Medication Charge,1230.99
898,71,Ultrasound,1669.77
899,54,Physical Examination,1451.59
900,61,Hospital Stay,272.32
901,55,CT Scan,437.36
902,103,Hospital Stay,1671.42
903,499,Consultation,747.95
904,210,Hospital Stay,362.73
905,281,CT Scan,1825.20
906,353,CT Scan,694.68
907,2,Blood Test,1359.68
908,465,MRI Scan,1678.70
909,343,CT Scan,340.83
910,47,Physical Examination,196.34
911,371,MRI Scan,1814.32
912,330,Consultation,940.66
913,152,Hospital Stay,955.34
914,52,X-Ray,1754.57
915,437,Hospital Stay,752.42
916,347,ECG,880.69
917,60,MRI Scan,1709.93
918,456,Blood Test,68.86
919,71,X-Ray,690.89
920,458,CT Scan,1912.42
921,138,MRI Scan,776.61
922,176,X-Ray,271.97
923,205,CT Scan,580.07
924,198,CT Scan,1609.80
925,333,X-Ray,270.46
926,357,Blood Test,1964.06
927,433,X-Ray,252.24
928,467,Medication Charge,991.22
929,292,CT Scan,403.46
930,195,ECG,1242.15
931,442,X-Ray,992.01
932,250,MRI Scan,1780.81
933,226,Blood Test,173.51
934,336,ECG,74.10
935,445,Physical Examination,1546.68
936,296,Medication Charge,486.77
937,490,ECG,1062.24
938,353,Medication Charge,235.72
939,339,Consultation,989.76
940,340,Ultrasound,339.88
941,424,Physical Examination,1789.52
942,314,Blood Test,72.71
943,479,X-Ray,1035.86
944,241,CT Scan,1745.36
945,39,CT Scan,675.24
946,170,Hospital Stay,148.18
