billing_staff_id,staff_id,role
111,111,Billing Manager
112,112,Cashier
113,113,Billing Clerk
114,114,Insurance Coordinator
115,115,Billing Manager
116,116,Billing Clerk
117,117,Insurance Coordinator
118,118,Billing Manager
119,119,Billing Manager
120,120,Insurance Coordinator
121,121,Billing Manager
122,122,Billing Clerk
123,123,Insurance Coordinator
124,124,Cashier
125,125,Billing Clerk
126,126,Billing Clerk
127,127,Insurance Coordinator
128,128,Insurance Coordinator
129,129,Billing Manager
130,130,Billing Clerk
131,131,Billing Manager
132,132,Billing Clerk
133,133,Billing Clerk
134,134,Cashier
135,135,Billing Clerk
136,136,Billing Manager
137,137,Billing Manager
138,138,Cashier
139,139,Billing Manager
140,140,Insurance Coordinator
141,141,Cashier
142,142,Billing Manager
143,143,Billing Manager
144,144,Insurance Coordinator
145,145,Cashier
146,146,Insurance Coordinator
147,147,Cashier
148,148,Cashier
149,149,Billing Clerk
150,150,Billing Manager
151,151,Billing Manager
152,152,Billing Clerk
153,153,Insurance Coordinator
154,154,Billing Clerk
155,155,Billing Manager
156,156,Billing Manager
157,157,Billing Clerk
158,158,Billing Clerk
159,159,Billing Clerk
160,160,Billing Manager
161,161,Billing Clerk
162,162,Billing Clerk
163,163,Insurance Coordinator
164,164,Billing Clerk
165,165,Billing Manager
166,166,Insurance Coordinator
167,167,Cashier
168,168,Billing Manager
169,169,Billing Manager
170,170,Cashier
171,171,Billing Manager
172,172,Cashier
173,173,Cashier
174,174,Billing Manager
175,175,Billing Clerk
176,176,Billing Clerk
177,177,Cashier
178,178,Insurance Coordinator
179,179,Cashier
180,180,Cashier
181,181,Cashier
182,182,Billing Clerk
183,183,Billing Clerk
184,184,Billing Clerk
185,185,Cashier
186,186,Insurance Coordinator
187,187,Billing Clerk
188,188,Billing Manager
189,189,Billing Manager
190,190,Billing Manager
191,191,Cashier
192,192,Billing Manager
193,193,Cashier
194,194,Billing Manager
195,195,Insurance Coordinator
196,196,Cashier
197,197,Billing Manager
198,198,Billing Clerk
199,199,Cashier
200,200,Billing Clerk
201,201,Billing Clerk
202,202,Billing Clerk
203,203,Billing Clerk
204,204,Billing Manager
205,205,Billing Manager
206,206,Cashier
207,207,Cashier
208,208,Cashier
209,209,Billing Manager
210,210,Cashier
211,211,Billing Clerk
212,212,Billing Manager
213,213,Cashier
214,214,Billing Clerk
215,215,Cashier
216,216,Insurance Coordinator
217,217,Cashier
218,218,Insurance Coordinator
219,219,Cashier
220,220,Cashier
221,221,Billing Manager
222,222,Billing Manager
223,223,Insurance Coordinator
224,224,Billing Manager
225,225,Billing Clerk
226,226,Billing Clerk
227,227,Insurance Coordinator
228,228,Billing Clerk
229,229,Billing Clerk
230,230,Cashier
231,231,Billing Manager
232,232,Billing Clerk
233,233,Billing Clerk
234,234,Billing Manager
235,235,Billing Clerk
236,236,Billing Clerk
237,237,Billing Manager
238,238,Cashier
239,239,Billing Clerk
240,240,Billing Manager
241,241,Billing Clerk
242,242,Billing Clerk
243,243,Cashier
244,244,Insurance Coordinator
245,245,Insurance Coordinator
246,246,Billing Manager
247,247,Insurance Coordinator
248,248,Billing Manager
249,249,Insurance Coordinator
250,250,Cashier
251,251,Billing Manager
252,252,Insurance Coordinator
253,253,Cashier
254,254,Insurance Coordinator
255,255,Billing Clerk
256,256,Billing Clerk
257,257,Cashier
258,258,Billing Clerk
259,259,Billing Clerk
260,260,Billing Manager
261,261,Insurance Coordinator
262,262,Billing Manager
263,263,Insurance Coordinator
264,264,Billing Clerk
265,265,Billing Manager
266,266,Insurance Coordinator
267,267,Insurance Coordinator
268,268,Billing Manager
269,269,Cashier
270,270,Insurance Coordinator
271,271,Billing Clerk
272,272,Insurance Coordinator
273,273,Billing Clerk
274,274,Billing Manager
275,275,Insurance Coordinator
276,276,Billing Clerk
277,277,Billing Clerk
278,278,Billing Manager
279,279,Insurance Coordinator
280,280,Insurance Coordinator
281,281,Billing Manager
282,282,Insurance Coordinator
283,283,Billing Manager
284,284,Insurance Coordinator
285,285,Cashier
286,286,Insurance Coordinator
287,287,Billing Clerk
288,288,Billing Clerk
289,289,Cashier
290,290,Insurance Coordinator
291,291,Billing Clerk
292,292,Billing Clerk
293,293,Insurance Coordinator
294,294,Billing Manager
295,295,Insurance Coordinator
296,296,Billing Manager
297,297,Cashier
298,298,Cashier
299,299,Billing Clerk
300,300,Billing Clerk
301,301,Billing Clerk
302,302,Billing Manager
303,303,Billing Clerk
304,304,Insurance Coordinator
305,305,Billing Manager
306,306,Cashier
307,307,Billing Manager
308,308,Billing Clerk
309,309,Insurance Coordinator
310,310,Insurance Coordinator
311,311,Billing Clerk
312,312,Insurance Coordinator
313,313,Billing Manager
314,314,Billing Manager
315,315,Billing Clerk
316,316,Insurance Coordinator
317,317,Cashier
318,318,Billing Manager
319,319,Billing Manager
320,320,Billing Manager
321,321,Billing Manager
322,322,Cashier
323,323,Billing Clerk
324,324,Billing Manager
325,325,Insurance Coordinator
326,326,Cashier
327,327,Billing Manager
328,328,Insurance Coordinator
329,329,Billing Manager
330,330,Billing Clerk
331,331,Cashier
332,332,Billing Clerk
333,333,Cashier
334,334,Billing Manager
335,335,Billing Manager
336,336,Cashier
337,337,Insurance Coordinator
338,338,Insurance Coordinator
339,339,Billing Manager
340,340,Billing Manager
341,341,Billing Clerk
342,342,Billing Manager
343,343,Cashier
344,344,Insurance Coordinator
345,345,Insurance Coordinator
346,346,Billing Clerk
347,347,Insurance Coordinator
348,348,Insurance Coordinator
349,349,Cashier
350,350,Insurance Coordinator
351,351,Billing Clerk
352,352,Billing Clerk
353,353,Insurance Coordinator
354,354,Billing Manager
355,355,Insurance Coordinator
356,356,Billing Clerk
357,357,Billing Clerk
358,358,Cashier
359,359,Insurance Coordinator
360,360,Insurance Coordinator
361,361,Cashier
362,362,Billing Clerk
363,363,Cashier
364,364,Billing Manager
365,365,Insurance Coordinator
366,366,Billing Clerk
367,367,Cashier
368,368,Billing Clerk
369,369,Billing Manager
370,370,Insurance Coordinator
371,371,Cashier
372,372,Billing Clerk
373,373,Insurance Coordinator
374,374,Insurance Coordinator
375,375,Billing Clerk
376,376,Insurance Coordinator
377,377,Insurance Coordinator
378,378,Cashier
379,379,Insurance Coordinator
380,380,Cashier
381,381,Insurance Coordinator
382,382,Billing Manager
383,383,Billing Manager
384,384,Cashier
385,385,Cashier
386,386,Billing Manager
387,387,Insurance Coordinator
388,388,Cashier
389,389,Billing Clerk
390,390,Insurance Coordinator
391,391,Insurance Coordinator
392,392,Billing Manager
393,393,Cashier
394,394,Insurance Coordinator
395,395,Cashier
396,396,Cashier
397,397,Cashier
398,398,Billing Manager
399,399,Cashier
400,400,Billing Manager
401,401,Billing Clerk
402,402,Insurance Coordinator
403,403,Insurance Coordinator
404,404,Billing Clerk
405,405,Billing Manager
406,406,Insurance Coordinator
407,407,Billing Manager
408,408,Billing Manager
409,409,Billing Manager
410,410,Billing Clerk
411,411,Billing Clerk
412,412,Billing Manager
413,413,Cashier
414,414,Billing Clerk
415,415,Cashier
416,416,Cashier
417,417,Billing Manager
418,418,Cashier
419,419,Cashier
420,420,Cashier
421,421,Billing Manager
422,422,Billing Manager
423,423,Billing Clerk
424,424,Billing Clerk
425,425,Cashier
426,426,Billing Manager
427,427,Billing Manager
428,428,Cashier
429,429,Billing Clerk
430,430,Billing Manager
431,431,Billing Clerk
432,432,Cashier
433,433,Billing Manager
434,434,Cashier
435,435,Insurance Coordinator
436,436,Cashier
437,437,Cashier
438,438,Cashier
439,439,Billing Manager
440,440,Cashier
441,441,Cashier
442,442,Insurance Coordinator
443,443,Billing Manager
444,444,Insurance Coordinator
445,445,Cashier
446,446,Billing Manager
447,447,Insurance Coordinator
448,448,Cashier
449,449,Billing Clerk
450,450,Insurance Coordinator
451,451,Billing Manager
452,452,Insurance Coordinator
453,453,Insurance Coordinator
454,454,Insurance Coordinator
455,455,Billing Clerk
456,456,Billing Manager
457,457,Billing Manager
458,458,Billing Manager
459,459,Cashier
460,460,Billing Manager
461,461,Billing Manager
462,462,Billing Clerk
463,463,Cashier
464,464,Cashier
465,465,Insurance Coordinator
466,466,Cashier
467,467,Cashier
468,468,Billing Clerk
469,469,Billing Manager
470,470,Cashier
471,471,Cashier
472,472,Billing Clerk
473,473,Cashier
474,474,Cashier
475,475,Billing Clerk
476,476,Insurance Coordinator
477,477,Insurance Coordinator
478,478,Cashier
479,479,Cashier
480,480,Billing Manager
481,481,Cashier
482,482,Billing Manager
483,483,Insurance Coordinator
484,484,Cashier
485,485,Cashier
486,486,Billing Clerk
487,487,Cashier
488,488,Insurance Coordinator
489,489,Cashier
490,490,Billing Manager
491,491,Cashier
492,492,Billing Manager
493,493,Billing Clerk
494,494,Cashier
495,495,Billing Clerk
496,496,Billing Clerk
497,497,Cashier
498,498,Billing Manager
499,499,Cashier
500,500,Billing Manager
